algorithm,iteration,params,fitness
PSO,8,"{""num_samples"": 800, ""num_features"": 5, ""kernel_width"": 0.7458731187867285}",0.1430691750409258
PSO,8,"{""num_samples"": 790, ""num_features"": 7, ""kernel_width"": 0.728940594610709}",0.11769573685498988
PSO,8,"{""num_samples"": 800, ""num_features"": 7, ""kernel_width"": 0.75}",0.060770649362294274
PSO,8,"{""num_samples"": 800, ""num_features"": 7, ""kernel_width"": 0.75}",0.11451727483815041
PSO,8,"{""num_samples"": 800, ""num_features"": 8, ""kernel_width"": 0.75}",0.10119291745585479
PSO,8,"{""num_samples"": 790, ""num_features"": 5, ""kernel_width"": 0.75}",0.14737761387565812
PSO,8,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.5814560832133508}",0.1287394859587369
PSO,8,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.75}",0.13369787162607305
PSO,8,"{""num_samples"": 800, ""num_features"": 5, ""kernel_width"": 0.7062742910921431}",0.1417760707831236
PSO,8,"{""num_samples"": 800, ""num_features"": 5, ""kernel_width"": 0.75}",0.1489581987865638
PSO,9,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.6665972697527354}",0.08370555027732879
PSO,9,"{""num_samples"": 800, ""num_features"": 7, ""kernel_width"": 0.75}",0.12936185782654466
PSO,9,"{""num_samples"": 800, ""num_features"": 5, ""kernel_width"": 0.72010698546627}",0.15892363179315422
PSO,9,"{""num_samples"": 800, ""num_features"": 5, ""kernel_width"": 0.6173916092378804}",0.12794540227049567
PSO,9,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.7174625281809743}",0.1863378839834318
PSO,9,"{""num_samples"": 800, ""num_features"": 5, ""kernel_width"": 0.7139908702407788}",0.14009749480095235
PSO,9,"{""num_samples"": 778, ""num_features"": 5, ""kernel_width"": 0.5773642472058419}",0.10114212026236247
PSO,9,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.7099344176510275}",0.14353897794707787
PSO,9,"{""num_samples"": 800, ""num_features"": 4, ""kernel_width"": 0.7089684228050267}",0.12500793133440144
PSO,9,"{""num_samples"": 800, ""num_features"": 5, ""kernel_width"": 0.7189419850795398}",0.11180891202709597
PSO,9,"{""num_samples"": 788, ""num_features"": 4, ""kernel_width"": 0.75}",0.14808037066808025
PSO,9,"{""num_samples"": 789, ""num_features"": 4, ""kernel_width"": 0.6872260686791927}",0.13989007868820635
PSO,9,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.75}",0.17449235327630422
PSO,9,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.6513096684308189}",0.10180798484645014
PSO,9,"{""num_samples"": 800, ""num_features"": 5, ""kernel_width"": 0.75}",0.11022008274911763
PSO,10,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.6842386551894453}",0.1485864800333762
PSO,10,"{""num_samples"": 800, ""num_features"": 4, ""kernel_width"": 0.7364241203686172}",0.12781679875227836
PSO,10,"{""num_samples"": 800, ""num_features"": 3, ""kernel_width"": 0.6849004082112207}",0.14278021931943374
PSO,10,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.6461754413914267}",0.09524844710501595
PSO,10,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.7200315780851992}",0.11330318436551605
PSO,10,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.6917905065877267}",0.1095500600384929
PSO,10,"{""num_samples"": 780, ""num_features"": 5, ""kernel_width"": 0.5856188889407739}",0.11586314046337456
PSO,10,"{""num_samples"": 800, ""num_features"": 5, ""kernel_width"": 0.6862050558461655}",0.13382207723081452
PSO,10,"{""num_samples"": 800, ""num_features"": 5, ""kernel_width"": 0.6757383187476116}",0.12479102766272167
PSO,10,"{""num_samples"": 800, ""num_features"": 5, ""kernel_width"": 0.6973507002295877}",0.11526265306215992
PSO,10,"{""num_samples"": 793, ""num_features"": 3, ""kernel_width"": 0.7268496830635207}",0.15590970909777574
PSO,10,"{""num_samples"": 782, ""num_features"": 7, ""kernel_width"": 0.6086591523661575}",0.09393293250012252
PSO,10,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.75}",0.15721112033009005
PSO,10,"{""num_samples"": 800, ""num_features"": 5, ""kernel_width"": 0.6429884234338908}",0.1384270061463999
