algorithm,iteration,model_params,val_accuracy
WOA,4,"{""hidden_dim"": 128, ""dropout"": 0.2671156573471209, ""lr"": 0.003075512720065565}",0.806
WOA,4,"{""hidden_dim"": 128, ""dropout"": 0.2671156573471209, ""lr"": 0.003075512720065565}",0.832
WOA,4,"{""hidden_dim"": 128, ""dropout"": 0.2671156573471209, ""lr"": 0.003075512720065565}",0.819
WOA,4,"{""hidden_dim"": 128, ""dropout"": 0.2671156573471209, ""lr"": 0.003075512720065565}",0.767
WOA,4,"{""hidden_dim"": 128, ""dropout"": 0.2671156573471209, ""lr"": 0.003075512720065565}",0.781
WOA,5,"{""hidden_dim"": 128, ""dropout"": 0.2671156573471209, ""lr"": 0.003075512720065565}",0.761
WOA,5,"{""hidden_dim"": 128, ""dropout"": 0.2671156573471209, ""lr"": 0.003075512720065565}",0.749
WOA,5,"{""hidden_dim"": 128, ""dropout"": 0.2671156573471209, ""lr"": 0.003075512720065565}",0.784
WOA,5,"{""hidden_dim"": 128, ""dropout"": 0.2671156573471209, ""lr"": 0.003075512720065565}",0.761
WOA,5,"{""hidden_dim"": 128, ""dropout"": 0.2671156573471209, ""lr"": 0.003075512720065565}",0.792
WOA,5,"{""hidden_dim"": 128, ""dropout"": 0.2671156573471209, ""lr"": 0.003075512720065565}",0.786
Firefly,0,"{""hidden_dim"": 128, ""dropout"": 0.35866177660665094, ""lr"": 0.003603572054742395}",0.813
Firefly,0,"{""hidden_dim"": 64, ""dropout"": 0.4368391444999409, ""lr"": 0.004169801005523561}",0.794
Firefly,0,"{""hidden_dim"": 64, ""dropout"": 0.2407605221783906, ""lr"": 0.0038851563362609976}",0.78
Firefly,0,"{""hidden_dim"": 256, ""dropout"": 0.44016464592673765, ""lr"": 0.0006931698188298441}",0.768
Firefly,0,"{""hidden_dim"": 256, ""dropout"": 0.5130541385444078, ""lr"": 0.0018012984500114001}",0.791
Firefly,0,"{""hidden_dim"": 128, ""dropout"": 0.46460853627494236, ""lr"": 0.0004378880089462385}",0.761
Firefly,1,"{""hidden_dim"": 128, ""dropout"": 0.35866177660665094, ""lr"": 0.003603572054742395}",0.784
Firefly,1,"{""hidden_dim"": 128, ""dropout"": 0.35866177660665094, ""lr"": 0.003603572054742395}",0.782
Firefly,1,"{""hidden_dim"": 128, ""dropout"": 0.35866177660665094, ""lr"": 0.003603572054742395}",0.783
Firefly,1,"{""hidden_dim"": 128, ""dropout"": 0.35866177660665094, ""lr"": 0.003603572054742395}",0.784
Firefly,1,"{""hidden_dim"": 128, ""dropout"": 0.35866177660665094, ""lr"": 0.003603572054742395}",0.795
Firefly,1,"{""hidden_dim"": 128, ""dropout"": 0.35866177660665094, ""lr"": 0.003603572054742395}",0.814
Firefly,2,"{""hidden_dim"": 128, ""dropout"": 0.35866177660665094, ""lr"": 0.003603572054742395}",0.786
Firefly,2,"{""hidden_dim"": 128, ""dropout"": 0.35866177660665094, ""lr"": 0.003603572054742395}",0.799
Firefly,2,"{""hidden_dim"": 128, ""dropout"": 0.35866177660665094, ""lr"": 0.003603572054742395}",0.811
Firefly,2,"{""hidden_dim"": 128, ""dropout"": 0.35866177660665094, ""lr"": 0.003603572054742395}",0.792
Firefly,2,"{""hidden_dim"": 128, ""dropout"": 0.35866177660665094, ""lr"": 0.003603572054742395}",0.844
